Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
2.61,21.02,0,70.0,7,5.31,19
3.62,20.53,1,70.0,7,5.94,19
4.61,20.53,2,70.0,8,6.52,22
5.62,20.53,3,70.0,9,7.1,24
6.63,20.53,4,70.0,9,7.67,24
7.62,20.53,5,70.0,10,8.25,27
8.63,21.02,6,70.0,10,8.77,27
9.62,21.02,7,70.0,11,9.34,30
10.63,20.53,8,70.0,11,9.97,30
11.62,20.53,9,70.0,12,10.54,33
12.63,20.53,10,70.0,14,11.12,36
13.62,21.02,11,70.0,14,11.64,36
14.63,20.04,12,70.0,14,12.32,38
15.63,20.53,13,70.0,14,12.85,38
16.63,21.02,14,70.0,16,13.37,41
17.63,20.53,15,70.0,16,13.99,41
18.64,20.53,16,70.0,17,14.57,44
19.64,20.53,17,70.0,18,15.15,47
20.64,20.53,18,70.0,18,15.72,47
21.64,20.53,19,70.0,19,16.3,49
22.64,20.53,20,70.0,19,16.88,49
23.65,21.02,21,70.0,20,17.39,52
24.64,20.53,22,70.0,21,18.02,55
25.65,21.02,23,70.0,21,18.54,55
26.64,20.53,24,70.0,22,19.17,58
27.65,20.53,25,70.0,22,19.75,58
28.64,21.02,26,70.0,23,20.26,60
29.65,21.51,27,70.0,23,20.78,60
30.64,20.53,28,70.0,24,21.46,63
31.65,21.02,29,70.0,24,21.98,63
32.64,21.02,30,70.0,25,22.55,66
33.65,21.02,31,70.0,27,23.12,69
34.64,21.02,32,70.0,27,23.69,69
35.65,21.02,33,70.0,28,24.26,72
36.66,21.02,34,70.0,28,24.83,72
37.66,21.02,35,70.0,29,25.4,74
38.66,20.53,36,70.0,30,26.03,77
39.66,21.02,37,70.0,30,26.55,77
40.66,21.51,38,70.0,31,27.06,80
41.66,21.51,39,70.0,31,27.62,80
42.67,21.51,40,70.0,32,28.19,83
43.66,21.51,41,70.0,32,28.75,83
44.67,21.02,42,70.0,33,29.38,85
45.66,21.51,43,70.0,33,29.89,85
46.67,21.02,44,70.0,34,30.51,88
47.66,21.51,45,70.0,35,31.03,91
48.67,21.02,46,70.0,35,31.65,91
49.66,21.51,47,70.0,36,32.16,94
50.67,21.02,48,70.0,36,32.78,94
51.66,21.51,49,70.0,38,33.3,97
52.67,21.51,50,70.0,38,33.86,97
53.68,21.51,51,70.0,38,34.43,99
54.67,21.51,52,70.0,38,34.99,99
55.68,21.51,53,70.0,40,35.56,102
56.68,21.51,54,70.0,41,36.12,105
57.68,21.51,55,70.0,41,36.69,105
58.68,21.99,56,70.0,42,37.19,108
59.69,21.51,57,70.0,42,37.81,108
60.68,21.99,58,70.0,43,38.32,110
61.69,22.48,59,70.0,43,38.82,110
62.68,21.99,60,70.0,44,39.43,113
63.69,21.99,61,70.0,44,39.99,113
64.68,21.99,62,70.0,45,40.55,116
65.69,22.48,63,70.0,46,41.05,119
66.68,21.99,64,70.0,46,41.66,119
67.69,22.48,65,70.0,47,42.16,121
68.7,22.48,66,70.0,47,42.72,121
69.69,22.48,67,70.0,48,43.27,124
70.7,22.48,68,70.0,48,43.82,124
71.69,22.97,69,70.0,49,44.32,127
72.7,22.48,70,70.0,49,44.92,127
73.69,22.48,71,70.0,50,45.48,130
74.7,22.97,72,70.0,50,45.97,130
75.7,22.97,73,70.0,52,46.52,133
76.7,22.97,74,70.0,52,47.07,135
77.7,22.97,75,70.0,52,47.62,135
78.71,22.97,76,70.0,54,48.16,138
79.7,22.97,77,70.0,54,48.71,138
80.71,23.46,78,70.0,55,49.2,141
81.7,23.46,79,70.0,55,49.74,141
82.71,23.46,80,70.0,56,50.29,144
83.72,23.95,81,70.0,56,50.77,144
84.71,23.95,82,70.0,57,51.31,146
85.72,23.95,83,70.0,57,51.84,146
86.71,23.95,84,70.0,58,52.38,149
87.72,23.95,85,70.0,58,52.91,149
88.71,23.95,86,70.0,59,53.45,152
89.72,24.44,87,70.0,59,53.93,152
90.71,24.44,88,70.0,60,54.46,155
91.72,24.44,89,70.0,60,54.99,155
92.71,24.93,90,70.0,61,55.46,157
93.72,24.93,91,70.0,61,55.99,157
94.72,24.93,92,70.0,62,56.51,160
95.72,25.42,93,70.0,62,56.98,160
96.72,24.93,94,70.0,63,57.56,163
97.73,24.93,95,70.0,65,58.08,166
98.72,25.42,96,70.0,65,58.55,166
99.73,25.42,97,70.0,66,59.07,169
100.74,25.9,98,70.0,66,59.53,169
101.73,25.9,99,70.0,67,60.04,171
102.74,25.9,100,70.0,67,60.56,171
103.73,26.39,101,70.0,68,61.01,174
104.74,25.9,102,70.0,68,61.58,174
105.73,26.39,103,70.0,69,62.03,177
106.74,26.39,104,70.0,69,62.54,177
107.73,26.88,105,70.0,69,62.99,177
108.74,26.88,106,70.0,70,63.49,180
109.73,26.88,107,70.0,70,64.0,180
110.74,26.88,108,70.0,71,64.5,182
111.73,27.37,109,70.0,71,64.94,182
112.74,27.37,110,70.0,72,65.44,185
113.74,27.37,111,70.0,72,65.93,185
114.74,27.37,112,70.0,73,66.43,188
115.75,27.86,113,70.0,73,66.87,188
116.75,27.86,114,70.0,74,67.36,191
117.75,27.37,115,70.0,74,67.91,191
118.75,28.35,116,70.0,76,68.29,194
119.76,28.35,117,70.0,76,68.77,194
120.75,28.35,118,70.0,76,69.26,196
121.76,28.84,119,70.0,76,69.69,196
122.75,28.84,120,70.0,78,70.17,199
123.76,29.33,121,70.0,78,70.59,199
124.75,29.33,122,70.0,79,71.06,202
125.76,29.33,123,70.0,79,71.53,202
126.75,29.81,124,70.0,79,71.95,202
127.76,29.81,125,70.0,80,72.42,205
128.75,29.81,126,70.0,80,72.89,205
129.76,29.81,127,70.0,81,73.35,207
130.77,30.3,128,70.0,81,73.76,207
131.76,30.3,129,70.0,82,74.23,210
132.77,30.79,130,70.0,82,74.63,210
133.76,30.79,131,70.0,83,75.09,213
134.77,30.79,132,70.0,83,75.54,213
135.77,30.79,133,70.0,83,76.0,213
136.77,31.28,134,70.0,84,76.4,216
137.77,31.77,135,70.0,84,76.79,216
138.78,31.77,136,70.0,85,77.24,218
139.77,32.26,137,70.0,85,77.62,218
140.78,32.26,138,70.0,86,78.06,221
141.77,32.26,139,70.0,86,78.5,221
142.78,32.26,140,70.0,86,78.94,221
143.77,32.75,141,70.0,87,79.32,224
144.78,32.75,142,70.0,87,79.76,224
145.77,32.75,143,70.0,89,80.19,227
146.78,33.24,144,70.0,89,80.57,227
147.79,33.24,145,70.0,89,80.99,227
148.78,33.72,146,70.0,90,81.36,230
149.79,33.72,147,70.0,90,81.79,230
150.78,34.21,148,70.0,90,82.15,232
151.79,34.21,149,70.0,90,82.57,232
152.79,34.21,150,70.0,90,82.98,232
153.79,34.7,151,70.0,92,83.34,235
154.79,35.19,152,70.0,92,83.69,235
155.8,34.21,153,70.0,93,84.22,238
156.79,35.19,154,70.0,93,84.52,238
157.8,35.68,155,70.0,93,84.86,238
158.79,35.68,156,70.0,94,85.26,241
159.8,35.68,157,70.0,94,85.66,241
160.79,36.17,158,70.0,95,86.0,243
161.8,36.17,159,70.0,95,86.4,243
162.81,36.66,160,70.0,95,86.73,243
163.8,36.66,161,70.0,96,87.12,246
